Volt,Intensity,I
1.65,65,0.000157057
1.7,65,0.0001683
1.75,65,0.000186421
1.8,65,0.000197918
1.85,65,0.000217342
1.9,65,0.000231695
1.95,65,0.000256949
2,65,0.000271511
2.05,65,0.000296949
2.1,65,0.000314639
2.15,65,0.000341334
2.2,65,0.000358741
2.25,65,0.000390981
2.3,65,0.000409837
2.35,65,0.000443935
2.4,65,0.000463271
2.45,65,0.000482017
2.5,65,0.000520721
2.55,65,0.000540643
2.6,65,0.000581805
2.65,65,0.000605032
2.7,65,0.00064346
2.75,65,0.000669347
2.8,65,0.000710237
2.85,65,0.000735328
2.9,65,0.000782429
2.95,65,0.000805592
3,65,0.000851408
3.05,65,0.000881353
3.1,65,0.000929132
3.15,65,0.000956553
3.2,65,0.00100389
3.25,65,0.00102815
3.3,65,0.00104537
3.35,65,0.00106004
3.4,65,0.00106487
-3.5,80,-0.000322914
-3.45,80,-0.000316647
-3.4,80,-0.000312825
-3.35,80,-0.000307748
-3.3,80,-0.000306293
-3.25,80,-0.000297954
-3.2,80,-0.000296771
-3.15,80,-0.000289021
-3.1,80,-0.000287013
-3.05,80,-0.000280134
-3,80,-0.000275407
-2.95,80,-0.000269532
-2.9,80,-0.000266334
-2.85,80,-0.0002588
-2.8,80,-0.000255844
-2.75,80,-0.000252406
-2.7,80,-0.000244698
-2.65,80,-0.000240194
-2.6,80,-0.000233143
-2.55,80,-0.00022988
-2.5,80,-0.000221474
-2.45,80,-0.000219162
-2.4,80,-0.00021089
-2.35,80,-0.000207462
-2.3,80,-0.000200417
-2.25,80,-0.000197084
-2.2,80,-0.00018971
-2.15,80,-0.000186093
-2.1,80,-0.000178918
-2.05,80,-0.000175445
-2,80,-0.000168332
-1.95,80,-0.000164746
-1.9,80,-0.00016149
-1.85,80,-0.000154241
-1.8,80,-0.000150679
-1.75,80,-0.000142802
-1.7,80,-0.000139921
-1.65,80,-0.000132863
-1.6,80,-0.000129777
-1.55,80,-0.000123117
-1.5,80,-0.000119621
-1.45,80,-0.000112568
