,loss,mse,mae,r_square,val_loss,val_mse,val_mae,val_r_square
3046,8.084837244126675e-10,8.084837244126675e-10,2.441837204969488e-05,0.9876237511634827,1.5111410733847919e-10,1.5111410733847919e-10,1.0852631930902135e-05,0.9965398907661438
3047,2.595280379491527e-10,2.595280379491527e-10,1.4118649232841562e-05,0.9964436888694763,2.3182930575238458e-10,2.3182930575238458e-10,1.4236627976060845e-05,0.9946599006652832
3048,2.1959753460087938e-10,2.1959753460087938e-10,1.2206473002152052e-05,0.9973493218421936,3.1309926873390737e-11,3.1309926873390737e-11,4.4030844037479255e-06,0.999412477016449
3049,3.796534475686286e-10,3.796534475686286e-10,1.6332958693965338e-05,0.9952110648155212,5.556564236508521e-11,5.556564236508521e-11,6.385061169567052e-06,0.9987338185310364
3050,4.523620644736326e-10,4.523620644736326e-10,1.8139811800210737e-05,0.9946361184120178,7.202515667215081e-11,7.202515667215081e-11,7.371147148660384e-06,0.9983590841293335
3051,2.188103476186143e-09,2.188103476186143e-09,3.8077228964539245e-05,0.9703953266143799,1.0015935303364643e-10,1.0015935303364643e-10,8.694019925314933e-06,0.997803807258606
3052,1.0585115006733758e-09,1.0585115006733758e-09,2.7825311917695217e-05,0.9869766235351562,8.444814292296599e-11,8.444814292296599e-11,7.820813152648043e-06,0.9981781840324402
3053,4.496930605668581e-10,4.496930605668581e-10,1.678094849921763e-05,0.9949405789375305,1.7169153876395171e-09,1.7169153876395171e-09,4.111375892534852e-05,0.9617919325828552
3054,3.0070299028572833e-10,3.0070299028572833e-10,1.3749999197898433e-05,0.9960965514183044,2.826497091934499e-10,2.826497091934499e-10,1.618058558960911e-05,0.9937804341316223
3055,6.961491383350449e-10,6.961491383350449e-10,2.2267127860686742e-05,0.9916072487831116,6.283509823568068e-10,6.283509823568068e-10,2.4515036784578115e-05,0.9856991767883301
3056,4.554594201788831e-10,4.554594201788831e-10,1.8068561985273845e-05,0.9941776394844055,1.2642469293666636e-09,1.2642469293666636e-09,3.517838194966316e-05,0.97225421667099
3057,6.411763342484278e-10,6.411763342484278e-10,2.169718936784193e-05,0.9915952682495117,4.870648329102778e-10,4.870648329102778e-10,2.1403717255452648e-05,0.9889841079711914
3058,4.736064318500155e-10,4.736064318500155e-10,1.7800548448576592e-05,0.993827223777771,4.240607864858248e-11,4.240607864858248e-11,5.112544386065565e-06,0.9991520643234253
3059,7.92827248297101e-10,7.92827248297101e-10,2.3990345653146505e-05,0.989902138710022,2.4897553463354427e-10,2.4897553463354427e-10,1.4106437447480857e-05,0.9949596524238586
3060,4.584117530015419e-09,4.584117530015419e-09,5.85429988859687e-05,0.9471524953842163,7.160959381025123e-09,7.160959381025123e-09,8.173257810994983e-05,0.8361217975616455
3061,2.9522309041851713e-09,2.9522309041851713e-09,4.5774871978210285e-05,0.9592351913452148,6.490654680391117e-10,6.490654680391117e-10,2.303490327904001e-05,0.9861613512039185
3062,6.917670880568494e-10,6.917670880568494e-10,2.2461439584731124e-05,0.99015212059021,1.379409364510309e-09,1.379409364510309e-09,3.591283893911168e-05,0.9694492220878601
3063,4.073693327111272e-10,4.073693327111272e-10,1.6666297597112134e-05,0.9949913024902344,1.0519718429691238e-09,1.0519718429691238e-09,3.1846317142480984e-05,0.9771234393119812
3064,5.157185789528285e-10,5.157185789528285e-10,1.8453180018696003e-05,0.9921664595603943,7.639543997406406e-10,7.639543997406406e-10,2.7112198949907906e-05,0.9831101298332214
3065,4.465772751593988e-10,4.465772751593988e-10,1.70079310919391e-05,0.9940314888954163,2.621022010540486e-10,2.621022010540486e-10,1.525581865280401e-05,0.9941538572311401
3066,2.564079781830486e-10,2.564079781830486e-10,1.3587027751782443e-05,0.9963709115982056,3.8112429878722764e-10,3.8112429878722764e-10,1.9005477952305228e-05,0.9916409254074097
3067,4.160485567172856e-10,4.160485567172856e-10,1.7295984434895217e-05,0.9947848916053772,4.728394897846044e-10,4.728394897846044e-10,2.1131250832695514e-05,0.9894231557846069
3068,2.500171736308232e-10,2.500171736308232e-10,1.2909393262816593e-05,0.9966325759887695,1.0365529268252516e-10,1.0365529268252516e-10,9.180029337585438e-06,0.9977155923843384
3069,2.478943716965887e-10,2.478943716965887e-10,1.2623238035303075e-05,0.9963642358779907,1.6770056177062287e-10,1.6770056177062287e-10,1.2175411029602401e-05,0.9963154196739197
3070,6.264548879642007e-10,6.264548879642007e-10,2.010848038480617e-05,0.992623507976532,1.6658845136685585e-10,1.6658845136685585e-10,1.1957408787566237e-05,0.9962193369865417
3071,4.5129114334407916e-10,4.5129114334407916e-10,1.683480331848841e-05,0.9920749068260193,2.8771411919592538e-09,2.8771411919592538e-09,5.342662916518748e-05,0.9367374181747437
3072,4.837088507514409e-10,4.837088507514409e-10,1.6654652426950634e-05,0.9920088052749634,7.63059754271822e-11,7.63059754271822e-11,7.175771315814927e-06,0.9985185861587524
3073,2.2787285391956402e-09,2.2787285391956402e-09,4.0578968764748424e-05,0.9632591009140015,1.2192752363304749e-09,1.2192752363304749e-09,3.442904198891483e-05,0.9734300374984741
3074,7.148917013921618e-10,7.148917013921618e-10,2.2762602384318598e-05,0.9908549785614014,1.0177428344526618e-10,1.0177428344526618e-10,8.502868695359211e-06,0.9977068901062012
3075,5.004842096312245e-10,5.004842096312245e-10,1.8735121557256207e-05,0.9938506484031677,3.251758862177212e-10,3.251758862177212e-10,1.728790630295407e-05,0.992633581161499
3076,7.147199498902523e-10,7.147199498902523e-10,2.0255478375474922e-05,0.9898862242698669,2.0114454546416027e-10,2.0114454546416027e-10,1.2859102753282059e-05,0.9956191778182983
3077,7.336388163636798e-10,7.336388163636798e-10,2.2712538338964805e-05,0.9894055724143982,7.305511195987435e-10,7.305511195987435e-10,2.6187319235759787e-05,0.9842258095741272
3078,2.3882613664483188e-09,2.3882613664483188e-09,4.1496001358609647e-05,0.9699011445045471,1.5508326844937415e-09,1.5508326844937415e-09,3.8905811379663646e-05,0.9651468992233276
3079,7.524232348288251e-10,7.524232348288251e-10,2.3917389626149088e-05,0.9872026443481445,1.7514817374220115e-10,1.7514817374220115e-10,1.1702229130605701e-05,0.996242105960846
3080,2.254006314927892e-09,2.254006314927892e-09,4.066809196956456e-05,0.9725504517555237,3.2736784394415963e-09,3.2736784394415963e-09,5.696275184163824e-05,0.9276516437530518
3081,6.137735319988735e-10,6.137735319988735e-10,1.9555280232452787e-05,0.9910602569580078,1.5057607938295803e-10,1.5057607938295803e-10,1.0885000847338233e-05,0.9969534873962402
3082,1.8991128114542732e-10,1.8991128114542732e-10,1.1193611499038525e-05,0.9976609945297241,2.232882628794286e-11,2.232882628794286e-11,3.660426727947197e-06,0.999518632888794
3083,5.250886392360599e-10,5.250886392360599e-10,1.8696651750360616e-05,0.9926607608795166,2.080591032793677e-09,2.080591032793677e-09,4.534998515737243e-05,0.9544321298599243
